VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
2.15,3.0,0.0,1.5,0.745482,7.6e-13,4.99223e-06,-4.99178e-06
2.2,3.0,0.0,1.5,0.785918,9.6e-13,5.09274e-06,-5.09236e-06
2.25,3.0,0.0,1.5,0.82805,6.7e-13,5.18389e-06,-5.18343e-06
2.3,3.0,0.0,1.5,0.870542,3.8e-13,5.26259e-06,-5.26215e-06
2.35,3.0,0.0,1.5,0.914612,-5.8e-13,5.33194e-06,-5.33159e-06
2.4,3.0,0.0,1.5,0.959646,-5.1e-13,5.39077e-06,-5.3904e-06
2.45,3.0,0.0,1.5,1.004926,-3.2e-13,5.43867e-06,-5.43843e-06
2.5,3.0,0.0,1.5,1.051644,-1.56e-12,5.47776e-06,-5.47731e-06
2.55,3.0,0.0,1.5,1.099108,-9.4e-13,5.50893e-06,-5.50833e-06
2.6,3.0,0.0,1.5,1.146424,7.1e-13,5.53138e-06,-5.53099e-06
2.65,3.0,0.0,1.5,1.195098,5.5e-13,5.54843e-06,-5.54825e-06
2.7,3.0,0.0,1.5,1.244144,-5.9e-13,5.5603e-06,-5.55994e-06
2.75,3.0,0.0,1.5,1.292822,3.8e-13,5.56824e-06,-5.56804e-06
2.8,3.0,0.0,1.5,1.342344,9.1e-13,5.5737e-06,-5.57331e-06
2.85,3.0,0.0,1.5,1.392162,1.17e-12,5.57676e-06,-5.57638e-06
2.9,3.0,0.0,1.5,1.441244,7.7e-13,5.57819e-06,-5.57794e-06
2.95,3.0,0.0,1.5,1.491128,5.4e-13,5.57896e-06,-5.5788e-06
3.0,3.0,0.0,1.5,1.54032,1.34e-12,5.57934e-06,-5.57891e-06
0.0,3.0,0.0,2.0,4e-05,-3.6e-13,1.9e-13,1.638e-11
0.05,3.0,0.0,2.0,4.2e-05,-1.04e-12,7.2e-13,1.573e-11
0.1,3.0,0.0,2.0,3.8e-05,1.94e-12,3.75e-12,1.155e-11
0.15,3.0,0.0,2.0,4.2e-05,-1.35e-12,2.273e-11,-4.73e-12
0.2,3.0,0.0,2.0,4.6e-05,1.49e-12,1.2982e-10,-1.1262e-10
0.25,3.0,0.0,2.0,7.2e-05,-7.7e-13,6.3688e-10,-6.1849e-10
0.3,3.0,0.0,2.0,0.00017,1.07e-12,2.59833e-09,-2.57438e-09
0.35,3.0,0.0,2.0,0.000464,3.1e-13,8.23527e-09,-8.21052e-09
0.4,3.0,0.0,2.0,0.00109,-1.1e-12,2.02404e-08,-2.01827e-08
0.45,3.0,0.0,2.0,0.002216,-6.7e-13,4.18297e-08,-4.1783e-08
0.5,3.0,0.0,2.0,0.00396,-2.2e-13,7.51949e-08,-7.51459e-08
0.55,3.0,0.0,2.0,0.006358,-3.1e-13,1.21042e-07,-1.20919e-07
0.6,3.0,0.0,2.0,0.009568,1.16e-12,1.82298e-07,-1.82222e-07
0.65,3.0,0.0,2.0,0.01354,9.5e-13,2.57748e-07,-2.57659e-07
0.7,3.0,0.0,2.0,0.018432,-1e-14,3.50279e-07,-3.50217e-07
0.75,3.0,0.0,2.0,0.024202,-2.2e-13,4.58965e-07,-4.58881e-07
0.8,3.0,0.0,2.0,0.030748,-6.8e-13,5.81572e-07,-5.81509e-07
0.85,3.0,0.0,2.0,0.038298,-3.2e-13,7.22015e-07,-7.22008e-07
0.9,3.0,0.0,2.0,0.046746,-7.9e-13,8.78154e-07,-8.78111e-07
0.95,3.0,0.0,2.0,0.055948,-5.4e-13,1.046779e-06,-1.046708e-06
1.0,3.0,0.0,2.0,0.066154,6.3e-13,1.23203e-06,-1.23134e-06
1.05,3.0,0.0,2.0,0.077252,9.5e-13,1.43173e-06,-1.43132e-06
1.1,3.0,0.0,2.0,0.089054,3e-14,1.64173e-06,-1.64133e-06
1.15,3.0,0.0,2.0,0.10189,-1.31e-12,1.86762e-06,-1.86737e-06
1.2,3.0,0.0,2.0,0.115394,-9.1e-13,2.10213e-06,-2.10169e-06
1.25,3.0,0.0,2.0,0.129914,5.6e-13,2.35126e-06,-2.35077e-06
1.3,3.0,0.0,2.0,0.145286,1.7e-13,2.61093e-06,-2.61048e-06
1.35,3.0,0.0,2.0,0.161212,-9.6e-13,2.87632e-06,-2.87588e-06
1.4,3.0,0.0,2.0,0.178216,-1.47e-12,3.15461e-06,-3.15419e-06
1.45,3.0,0.0,2.0,0.195976,-1.54e-12,3.44085e-06,-3.44041e-06
1.5,3.0,0.0,2.0,0.214274,6.6e-13,3.73035e-06,-3.7299e-06
1.55,3.0,0.0,2.0,0.233648,2.3e-13,4.03101e-06,-4.03048e-06
1.6,3.0,0.0,2.0,0.253826,1.31e-12,4.33777e-06,-4.33729e-06
1.65,3.0,0.0,2.0,0.274402,1.94e-12,4.64435e-06,-4.64365e-06
1.7,3.0,0.0,2.0,0.296068,-5e-14,4.95975e-06,-4.95921e-06
1.75,3.0,0.0,2.0,0.318142,-1.78e-12,5.27375e-06,-5.27304e-06
1.8,3.0,0.0,2.0,0.341288,-1.12e-12,5.59479e-06,-5.59435e-06
1.85,3.0,0.0,2.0,0.365196,1.68e-12,5.91823e-06,-5.91754e-06
1.9,3.0,0.0,2.0,0.38948,3e-13,6.23759e-06,-6.23709e-06
1.95,3.0,0.0,2.0,0.414918,5.6e-13,6.56264e-06,-6.56211e-06
2.0,3.0,0.0,2.0,0.441044,-3.8e-13,6.88676e-06,-6.88616e-06
2.05,3.0,0.0,2.0,0.467532,4.2e-13,7.2049e-06,-7.20434e-06
2.1,3.0,0.0,2.0,0.495112,-2.9e-13,7.5257e-06,-7.52519e-06
2.15,3.0,0.0,2.0,0.52346,-7.2e-13,7.84378e-06,-7.8431e-06
2.2,3.0,0.0,2.0,0.55209,1.05e-12,8.15353e-06,-8.1529e-06
2.25,3.0,0.0,2.0,0.58192,2.01e-12,8.4643e-06,-8.46356e-06
2.3,3.0,0.0,2.0,0.611994,5.2e-13,8.76484e-06,-8.76433e-06
2.35,3.0,0.0,2.0,0.643288,2.3e-13,9.06414e-06,-9.06366e-06
2.4,3.0,0.0,2.0,0.675306,-2e-13,9.35739e-06,-9.35682e-06
2.45,3.0,0.0,2.0,0.70762,-3.2e-13,9.63917e-06,-9.63835e-06
2.5,3.0,0.0,2.0,0.741174,1.8e-13,9.91752e-06,-9.91697e-06
2.55,3.0,0.0,2.0,0.77544,1.95e-12,1.018726e-05,-1.018677e-05
2.6,3.0,0.0,2.0,0.809974,8.79e-12,1.044425e-05,-1.044346e-05
2.65,3.0,0.0,2.0,0.845824,8.55e-12,1.069566e-05,-1.069508e-05
2.7,3.0,0.0,2.0,0.882428,2.79e-12,1.093599e-05,-1.09353e-05
2.75,3.0,0.0,2.0,0.919218,-8.7e-13,1.11622e-05,-1.116161e-05
2.8,3.0,0.0,2.0,0.957308,-2.27e-12,1.138023e-05,-1.137967e-05
2.85,3.0,0.0,2.0,0.996184,-9.8e-13,1.15859e-05,-1.15856e-05
2.9,3.0,0.0,2.0,1.035188,-1.13e-12,1.17767e-05,-1.17767e-05
2.95,3.0,0.0,2.0,1.075534,-8.1e-13,1.19575e-05,-1.19576e-05
3.0,3.0,0.0,2.0,1.115964,6.8e-13,1.21232e-05,-1.2123e-05
