VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
2.1,3.0,0.0,0.5,1.64118,3.83e-12,3.8431e-07,-3.8451e-07
2.15,3.0,0.0,0.5,1.6915,4.18e-12,3.8406e-07,-3.8395e-07
2.2,3.0,0.0,0.5,1.74088,3.76e-12,3.8372e-07,-3.8383e-07
2.25,3.0,0.0,0.5,1.7911,-4.1e-12,3.8363e-07,-3.8351e-07
2.3,3.0,0.0,0.5,1.84054,-5e-14,3.8314e-07,-3.8334e-07
2.35,3.0,0.0,0.5,1.89072,-1.16e-12,3.8309e-07,-3.8297e-07
2.4,3.0,0.0,0.5,1.94092,4.91e-12,3.8258e-07,-3.8273e-07
2.45,3.0,0.0,0.5,1.99046,1.01e-12,3.8251e-07,-3.8233e-07
2.5,3.0,0.0,0.5,2.0406,-1.35e-12,3.8197e-07,-3.8222e-07
2.55,3.0,0.0,0.5,2.09084,-1.77e-12,3.8205e-07,-3.8181e-07
2.6,3.0,0.0,0.5,2.14028,-1.66e-12,3.8149e-07,-3.8183e-07
2.65,3.0,0.0,0.5,2.1905,-5.5e-13,3.8157e-07,-3.8129e-07
2.7,3.0,0.0,0.5,2.2404,-3.89e-12,3.8109e-07,-3.8131e-07
2.75,3.0,0.0,0.5,2.29,1.03e-12,3.8095e-07,-3.8078e-07
2.8,3.0,0.0,0.5,2.3402,2.5e-12,3.8044e-07,-3.807e-07
2.85,3.0,0.0,0.5,2.3908,3.75e-12,3.8055e-07,-3.8036e-07
2.9,3.0,0.0,0.5,2.44,-5.3e-13,3.8026e-07,-3.8019e-07
2.95,3.0,0.0,0.5,2.4904,-1.1e-12,3.7991e-07,-3.7992e-07
3.0,3.0,0.0,0.5,2.5386,3.48e-12,3.7976e-07,-3.7966e-07
0.0,3.0,0.0,1.0,8e-05,3.17e-12,5.3645e-10,-5.3228e-10
0.05,3.0,0.0,1.0,0.00022,4.07e-12,2.2556e-09,-2.1437e-09
0.1,3.0,0.0,1.0,0.00092,2.9e-12,6.9534e-09,-6.9854e-09
0.15,3.0,0.0,1.0,0.00218,2.53e-12,1.7496e-08,-1.7286e-08
0.2,3.0,0.0,1.0,0.00464,1.79e-12,3.5957e-08,-3.6067e-08
